Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 02.222.05.920.20 2020,4440.0,Comunicaciones,165000.0,165000.0,0.0,172941.98,-7941.98,172941.98,172941.98,172941.98,172941.98
1 02.224.01.933.00 2020,4441.0,Seguro edificios,45000.0,45000.0,0.0,43137.05,1862.95,43137.05,43137.05,43137.05,43137.05
1 02.224.02.933.00 2020,4442.0,Seguro vehiculos,8000.0,8000.0,0.0,7008.67,991.33,7008.67,7008.67,7008.67,7008.67
1 02.224.99.933.00 2020,4443.0,Seguro responsabilidad civil,45000.0,45000.0,0.0,42042.46,2957.54,42042.46,42042.46,42042.46,42042.46
1 02.226.03.323.00 2020,4445.0,Publicidad,2700.0,2700.0,0.0,1415.45,1284.55,1415.45,1415.45,1415.45,1415.45
1 02.226.03.326.01 2020,4446.0,Publicidad,1000.0,1000.0,0.0,987.8,12.2,987.8,987.8,987.8,987.8
1 02.226.03.334.00 2020,4447.0,Publicidad,25000.0,25000.0,0.0,16412.38,8587.62,16412.38,15206.01,15206.01,15206.01
1 02.226.03.335.10 2020,4448.0,Publicidad,4500.0,4500.0,0.0,2670.34,1829.66,2670.34,2670.34,2670.34,2670.34
1 02.226.03.342.00 2020,5884.0,Publicidad Polideportivo,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
1 02.226.03.920.00 2020,5174.0,Servicio comunicacion,15000.0,15000.0,0.0,15994.69,-994.69,15994.69,15994.69,15994.69,15994.69
1 02.226.03.920.30 2020,4450.0,Publicaciones,12000.0,12000.0,0.0,4146.62,7853.38,4146.62,4146.62,4146.62,4146.62
1 02.226.03.920.30 2019,6187.0,Publicaciones,0.0,3002.0,0.0,0.0,3002.0,0.0,0.0,0.0,0.0
1 02.226.03.932.00 2020,4451.0,Anuncios recaudacion,2000.0,2000.0,0.0,1082.95,917.05,1082.95,1082.95,1082.95,1082.95
1 02.226.04.920.00 2020,4452.0,Asesoria jurídica,25000.0,25000.0,0.0,21427.72,3572.28,21427.72,21427.72,21427.72,21427.72
1 02.226.06.231.03 2020,4453.0,Proyectos,24000.0,24000.0,0.0,10187.17,13812.83,10187.17,10187.17,10187.17,10187.17
1 02.226.06.323.00 2020,4454.0,Actividades culturales,11000.0,11000.0,0.0,7253.62,3746.38,7253.62,196.02,196.02,196.02
1 02.226.06.323.00 2019,6188.0,Actividades culturales,0.0,6150.2,0.0,5890.2,260.0,5890.2,5890.2,5890.2,5890.2
1 02.226.06.326.01 2020,4455.0,Conciertos,22000.0,22000.0,0.0,5405.94,16594.06,5405.94,5405.94,5405.94,5405.94
1 02.226.06.334.00 2020,4456.0,Actividades culturales,155000.0,155000.0,0.0,109200.87,45799.13,109200.87,82636.37,82636.37,82636.37
1 02.226.06.334.00 2019,6189.0,Actividades culturales,0.0,14765.3,0.0,14644.0,121.3,14644.0,14644.0,14644.0,14644.0
1 02.226.06.335.00 2020,4457.0,Actividades Euskara,18000.0,18000.0,0.0,17965.7,34.3,7565.7,6210.5,6210.5,6210.5
1 02.226.06.335.00 2019,6190.0,Actividades Euskara,0.0,6996.5,0.0,5989.5,1007.0,5989.5,1996.5,1996.5,1996.5
1 02.226.06.338.00 2020,4458.0,Sanjuanes,138000.0,138000.0,0.0,48883.92,89116.08,48883.92,43765.62,43765.62,43765.62
1 02.226.06.341.00 2020,5885.0,Programa igualdad deporte,8000.0,8000.0,0.0,459.8,7540.2,459.8,459.8,459.8,459.8
1 02.226.06.341.00 2019,6191.0,Programa igualdad deporte,0.0,4600.0,0.0,0.0,4600.0,0.0,0.0,0.0,0.0
1 02.226.06.342.00 2020,4459.0,Actividades deporte,15500.0,15500.0,0.0,9458.45,6041.55,9458.45,9458.45,9458.45,9458.45
1 02.226.06.342.00 2019,6192.0,Actividades deporte,0.0,2700.0,0.0,1590.08,1109.92,1590.08,1590.08,1590.08,1590.08
1 02.226.06.414.00 2020,6116.0,Zuhaitz eguna,3000.0,3000.0,0.0,6462.12,-3462.12,6462.12,6462.12,6462.12,6462.12
1 02.226.06.920.30 2020,5615.0,Memoria histórica,18800.0,18800.0,0.0,0.0,18800.0,0.0,0.0,0.0,0.0
1 02.226.06.920.30 2019,6193.0,Memoria histórica,0.0,2302.25,0.0,0.0,2302.25,0.0,0.0,0.0,0.0
1 02.226.95.231.00 2020,4462.0,Programa Hezkidetza,60000.0,60000.0,0.0,54398.94,5601.06,54398.94,54398.94,54398.94,54398.94
1 02.226.95.231.00 2019,6194.0,Programa Hezkidetza,0.0,8876.72,0.0,8876.72,0.0,8876.72,8876.72,8876.72,8876.72
1 02.226.95.231.02 2020,4463.0,Plan Acogida,20000.0,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 02.226.95.231.02 2019,6195.0,Plan Acogida,0.0,17085.2,0.0,17085.2,0.0,17085.2,13515.7,13515.7,13515.7
1 02.226.95.431.00 2020,6117.0,Plan de accion comercio.,46000.0,46000.0,0.0,44529.34,1470.66,44529.34,40729.94,40729.94,40729.94
1 02.226.96.172.30 2020,4464.0,EskolaAgenda21,14000.0,14000.0,0.0,12500.0,1500.0,12500.0,12500.0,12500.0,12500.0
1 02.226.96.231.00 2020,4465.0,Talleres Igualdad,35000.0,35000.0,0.0,25254.38,9745.62,25254.38,20346.94,20346.94,20346.94
1 02.226.96.231.00 2019,6196.0,Talleres Igualdad,0.0,919.0,0.0,763.0,156.0,763.0,763.0,763.0,763.0
1 02.226.96.231.02 2020,4466.0,Otros gastos,20000.0,20000.0,0.0,15771.6,4228.4,15771.6,6498.85,6498.85,6498.85
1 02.226.96.231.02 2019,6198.0,Otros gastos,0.0,8769.6,0.0,8769.6,0.0,8769.6,4752.4,4752.4,2218.15
1 02.226.96.231.02 2018,6197.0,Otros gastos,0.0,4719.0,0.0,4719.0,0.0,4719.0,4719.0,4719.0,4719.0
1 02.226.96.241.00 2020,6346.0,Plan E-Hernani,0.0,51761.0,0.0,51761.0,0.0,51270.12,31556.8,31556.8,31556.8
1 02.226.96.335.10 2020,6118.0,Material Digitalizacion,2000.0,2000.0,0.0,7602.1,-5602.1,7602.1,7602.1,7602.1,7602.1
1 02.226.96.431.00 2020,6338.0,Campaña LOTEAK-COVID19,0.0,55000.0,0.0,56443.37,-1443.37,56443.37,56043.36,56043.36,56043.36
1 02.226.97.231.00 2020,4468.0,Otros programas Igualdad,70000.0,70000.0,0.0,45243.26,24756.74,45243.26,29074.26,29074.26,29074.26
1 02.226.97.231.00 2019,6200.0,Otros programas Igualdad,0.0,17988.59,0.0,15568.59,2420.0,15568.59,13148.59,13148.59,13148.59
1 02.226.97.231.00 2018,6199.0,Otros programas Igualdad,0.0,2175.0,0.0,2174.37,0.63,2174.37,2174.37,2174.37,2174.37
1 02.226.97.231.03 2020,4872.0,Gazt.Material Comunicación.,3000.0,3000.0,0.0,1348.18,1651.82,1348.18,1348.18,1348.18,1348.18
1 02.226.97.241.00 2020,5848.0,Iturola-coworking,10000.0,10000.0,0.0,10014.8,-14.8,10014.8,10014.8,10014.8,10014.8
1 02.226.97.241.01 2020,4469.0,Gastos funcionamiento,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1 02.226.97.241.02 2020,4873.0,Gastos funcionamiento,1100.0,1100.0,0.0,5280.62,-4180.62,5280.62,5280.62,5280.62,5280.62
1 02.226.97.326.01 2020,4874.0,Publicaciones,1000.0,1000.0,0.0,764.98,235.02,764.98,764.98,764.98,764.98
1 02.226.97.335.10 2020,4875.0,Aniversario,2000.0,2000.0,0.0,185.81,1814.19,185.81,185.81,185.81,185.81
1 02.226.97.335.50 2020,4470.0,Revista Gaztetxo,5300.0,5300.0,0.0,4235.1,1064.9,4235.1,4235.1,4235.1,4235.1
1 02.226.97.920.00 2020,4471.0,Anucios oficiales,40000.0,40000.0,0.0,25021.91,14978.09,25021.91,25021.91,25021.91,25021.91
1 02.226.97.924.00 2020,4472.0,Azoka 2.mano,3700.0,3700.0,0.0,2676.52,1023.48,2676.52,2676.52,2676.52,2676.52
1 02.226.97.924.00 2019,6201.0,Azoka 2.mano,0.0,395.32,0.0,395.26,0.06,395.26,395.26,395.26,395.26
1 02.226.98.132.00 2020,4473.0,Educacion Vial,6000.0,6000.0,0.0,5406.37,593.63,5406.37,3711.62,3711.62,3711.62
1 02.226.98.135.00 2020,6332.0,Material Covid-19,0.0,60000.0,0.0,54918.65,5081.35,54918.65,54918.65,54918.65,54918.65
1 02.226.98.162.10 2020,6119.0,Instalaciones auzo konposta,75000.0,75000.0,0.0,50821.89,24178.11,25821.89,25821.89,25821.89,25821.89
1 02.226.98.162.10 2019,6202.0,INSTALACIONES COMPOSTAJE COMUNITARIO,0.0,19311.6,0.0,19311.6,0.0,19311.6,19311.6,19311.6,19311.6
1 02.226.98.172.30 2020,4474.0,Agenda21,25000.0,25000.0,0.0,4552.9,20447.1,4552.9,1346.4,1346.4,1346.4
1 02.226.98.231.01 2020,4475.0,Campañas sensibilizacion,4000.0,4000.0,0.0,4550.53,-550.53,4550.53,1491.65,1491.65,1491.65
1 02.226.98.231.01 2019,6203.0,Campañas sensibilizacion,0.0,3381.71,0.0,0.0,3381.71,0.0,0.0,0.0,0.0
1 02.226.98.231.90 2020,5816.0,KAROBIETA 24-GASTUAK,1000.0,1000.0,0.0,25769.0,-24769.0,25769.0,25769.0,25769.0,25769.0
1 02.226.98.241.00 2020,4477.0,Servicio Orientacion Empleo,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 02.226.98.324.10 2020,4478.0,Gastos funcionamiento,14000.0,14000.0,0.0,10853.79,3146.21,10853.79,10853.79,10853.79,10853.79
1 02.226.98.326.01 2020,4876.0,Instrumentos,6800.0,6800.0,0.0,5019.5,1780.5,5019.5,5019.5,5019.5,5019.5
1 02.226.98.335.00 2020,4877.0,Actos Euskara,5000.0,5000.0,0.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0
1 02.226.98.335.10 2020,4479.0,Otras Actividades Euskaltegia,2500.0,2500.0,0.0,116.32,2383.68,116.32,116.32,116.32,116.32
1 02.226.98.335.50 2020,4480.0,Programa Ikasleen txokoa,5500.0,5500.0,0.0,5324.0,176.0,5324.0,5324.0,5324.0,5324.0
1 02.226.98.338.00 2020,6120.0,Fiestas.Otros,64000.0,64000.0,0.0,48408.21,15591.79,48408.21,48408.21,48408.21,48408.21
1 02.226.98.920.00 2020,5617.0,Vajilla eventos,4000.0,4000.0,0.0,222.64,3777.36,222.64,222.64,222.64,222.64
1 02.226.98.920.30 2020,5618.0,Eusko Ikaskuntza,500.0,500.0,0.0,300.0,200.0,300.0,300.0,300.0,300.0
1 02.226.98.933.00 2020,4482.0,Daños particulares,10000.0,10000.0,0.0,300.0,9700.0,300.0,300.0,300.0,300.0
1 02.226.99.132.00 2020,4483.0,Otros gastos,6000.0,6000.0,0.0,5750.92,249.08,5750.92,5750.92,5750.92,4836.16
1 02.226.99.132.00 2019,6204.0,Otros gastos,0.0,593.51,0.0,593.51,0.0,593.51,593.51,593.51,593.51
1 02.226.99.135.00 2020,6121.0,Otros gastos proteccion civil,4000.0,4000.0,0.0,7131.21,-3131.21,7131.21,7131.21,7131.21,7131.21
1 02.226.99.151.10 2020,5177.0,Gastos Gestion,10000.0,10000.0,0.0,774.4,9225.6,774.4,774.4,774.4,774.4
1 02.226.99.151.10 2019,6205.0,Gastos Gestion,0.0,2637.8,0.0,2637.8,0.0,2637.8,2637.8,2637.8,2637.8
1 02.226.99.162.10 2020,6122.0,Material. Residuos,70000.0,70000.0,0.0,40389.42,29610.58,40389.42,34389.42,34389.42,34389.42
1 02.226.99.162.10 2019,6206.0,Material. Residuos,0.0,45000.0,0.0,6985.33,38014.67,6985.33,6985.33,6985.33,6985.33
1 02.226.99.172.20 2020,4484.0,Otros gastos,20000.0,20000.0,0.0,26494.25,-6494.25,26494.25,26494.25,26494.25,26494.25
1 02.226.99.172.20 2019,6207.0,Otros gastos,0.0,5088.05,0.0,5088.05,0.0,5088.05,5088.05,5088.05,5088.05
1 02.226.99.231.01 2020,4485.0,Otros gastos,9257.0,9257.0,0.0,2857.37,6399.63,2857.37,2857.37,2857.37,2857.37
1 02.226.99.231.03 2020,4486.0,Otros gastos,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 02.226.99.231.90 2020,6335.0,Gastos Herencia JRubio,0.0,0.0,0.0,180.31,-180.31,180.31,180.31,180.31,180.31
1 02.226.99.241.00 2020,4878.0,Actuaciones Desarrollo Local,25000.0,25000.0,0.0,24909.0,91.0,24909.0,15955.0,15955.0,15955.0
1 02.226.99.241.00 2019,6208.0,Actuaciones Desarrollo Local,0.0,1590.0,0.0,1590.0,0.0,1590.0,1590.0,1590.0,1590.0
1 02.226.99.241.03 2020,4487.0,Gastos funcionamiento,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1 02.226.99.323.20 2020,4488.0,Otros gastos,5000.0,5000.0,0.0,1195.71,3804.29,1195.71,1195.71,1195.71,1195.71
1 02.226.99.323.30 2020,4489.0,Otos gastos,1500.0,1500.0,0.0,323.42,1176.58,323.42,323.42,323.42,323.42
1 02.226.99.326.01 2020,4490.0,Otros gastos,3000.0,3000.0,0.0,5438.11,-2438.11,5438.11,5438.11,5438.11,5438.11
1 02.226.99.332.10 2020,4491.0,Otros gastos,45000.0,45000.0,0.0,25068.03,19931.97,25068.03,25068.03,25068.03,25068.03
1 02.226.99.333.00 2020,6123.0,Otros gastos,6000.0,6000.0,0.0,2507.46,3492.54,2507.46,2507.46,2507.46,2507.46
1 02.226.99.334.00 2020,4492.0,Otros gastos,1000.0,1000.0,0.0,215.38,784.62,215.38,215.38,215.38,215.38
1 02.226.99.335.00 2020,4493.0,Otros gastos,600.0,600.0,0.0,490.47,109.53,490.47,490.47,490.47,490.47
1 02.226.99.335.10 2020,4494.0,Actividades Euskaltegia,1500.0,1500.0,0.0,953.35,546.65,953.35,953.35,953.35,953.35
1 02.226.99.335.20 2020,4495.0,Programa Buruntzaldea,25000.0,25000.0,0.0,24951.57,48.43,24951.57,20741.19,20741.19,20741.19
1 02.226.99.335.20 2019,6209.0,Programa Buruntzaldea,0.0,10910.12,0.0,9819.77,1090.35,9819.77,9819.77,9819.77,9819.77
1 02.226.99.335.30 2020,4496.0,Otros gastos,900.0,900.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0
1 02.226.99.335.50 2020,4498.0,Otros gastos,7000.0,7000.0,0.0,6864.1,135.9,6864.1,6864.1,6864.1,6864.1
1 02.226.99.337.00 2020,4497.0,Otros gastos,6000.0,6000.0,0.0,1632.79,4367.21,1632.79,1632.79,1632.79,1632.79
1 02.226.99.338.00 2020,4499.0,Otros gastos,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 02.226.99.342.00 2020,4500.0,Otros gastos,5000.0,5000.0,0.0,1533.24,3466.76,1533.24,1533.24,1533.24,1533.24
1 02.226.99.342.01 2020,4501.0,Otros gastos,1000.0,1000.0,0.0,61.94,938.06,61.94,61.94,61.94,61.94
1 02.226.99.431.00 2020,6341.0,GASTOS DIV.: BONOS CONSUMO COMERCIO,0.0,15000.0,0.0,13416.48,1583.52,13416.48,13416.48,13416.48,13416.48
1 02.226.99.432.00 2020,4502.0,Otros gastos,50000.0,50000.0,0.0,34628.15,15371.85,16478.15,6626.93,6626.93,6626.93
1 02.226.99.432.00 2019,6210.0,Otros gastos,0.0,8772.5,0.0,8772.5,0.0,8772.5,0.0,0.0,0.0
1 02.226.99.920.00 2020,4504.0,Otros gastos,25000.0,25000.0,0.0,31407.83,-6407.83,31407.83,31407.83,31407.83,31407.83
1 02.226.99.920.11 2020,4505.0,Seguridad-salud laboral,5000.0,5000.0,0.0,4494.34,505.66,4494.34,4494.34,4494.34,4494.34
1 02.226.99.920.30 2020,4506.0,Otros gastos,8000.0,8000.0,0.0,4277.55,3722.45,4277.55,4277.55,4277.55,4277.55
1 02.226.99.920.30 2019,6211.0,Otros gastos,0.0,8208.18,0.0,0.0,8208.18,0.0,0.0,0.0,0.0
1 02.226.99.924.00 2020,4507.0,Programas participación,50000.0,50000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0
1 02.226.99.933.00 2020,4510.0,Gastos Alokabide,5500.0,5500.0,0.0,15821.9,-10321.9,15821.9,15821.9,15821.9,15821.9
1 02.227.04.231.03 2020,4476.0,Programa GazteTxokoa,90000.0,90000.0,0.0,90000.0,0.0,90000.0,90000.0,90000.0,90000.0
1 02.227.04.323.20 2020,4511.0,Programa.Ingurugiro-hezkuntza,15000.0,15000.0,0.0,13000.0,2000.0,13000.0,13000.0,13000.0,13000.0
1 02.227.04.326.02 2020,4512.0,Servicio Kantuz,65000.0,65000.0,0.0,64999.98,0.02,64999.98,64999.98,64999.98,64999.98
1 02.227.04.334.00 2019,6212.0,comunicacion,0.0,20160.16,0.0,20054.54,105.62,20054.54,14472.81,14472.81,14472.81
1 02.227.04.334.10 2020,4513.0,Servicio Tallleres,88000.0,88000.0,0.0,72713.4,15286.6,72713.4,72713.4,72713.4,72713.4
1 02.227.04.342.00 2020,4515.0,Servicio monitor,268000.0,268000.0,0.0,227007.75,40992.25,227007.75,227007.75,227007.75,227007.75
1 02.227.04.432.00 2020,5835.0,Plan acciones turismo,60000.0,60000.0,0.0,27301.23,32698.77,9151.23,0.0,0.0,0.0
1 02.227.04.432.00 2019,6213.0,Plan acciones turismo,0.0,8591.0,0.0,8591.0,0.0,8591.0,8591.0,8591.0,8591.0
1 02.227.07.172.20 2020,4516.0,Estudios-proyectos,115000.0,115000.0,0.0,114986.97,13.03,49986.97,10041.66,10041.66,10041.66
1 02.227.07.172.20 2019,6215.0,Estudios-proyectos,0.0,72293.31,0.0,31612.62,40680.69,31612.62,31612.62,31612.62,31612.62
1 02.227.07.172.20 2018,6214.0,Estudios-proyectos,0.0,7016.33,0.0,7016.33,0.0,7016.33,0.0,0.0,0.0
1 02.227.07.172.40 2020,6124.0,Plan Energia estudios,60000.0,60000.0,0.0,60000.0,0.0,50000.0,14163.33,14163.33,14163.33
1 02.227.07.172.40 2019,6216.0,Plan Energia estudios,0.0,27658.97,0.0,27658.97,0.0,27658.97,22477.88,22477.88,22477.88
1 02.227.07.231.00 2020,5620.0,Programa. Violencia genero,25000.0,25000.0,0.0,24686.76,313.24,24686.76,7716.56,7716.56,7716.56
1 02.227.07.231.09 2020,5890.0,Gastos  gestion,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
1 02.227.07.241.00 2020,6320.0,Beterri-Atencion Personas,0.0,7701.0,0.0,18649.63,-10948.63,18649.63,12356.56,12356.56,12356.56
1 02.227.07.241.00 2019,6324.0,Beterri-Atencion Personas,0.0,3286.34,0.0,3274.54,11.8,3274.54,3274.54,3274.54,3274.54
1 02.227.07.323.00 2020,4517.0,Programa Hezkuntza,62000.0,62000.0,0.0,34981.93,27018.07,34981.93,28186.16,28186.16,28186.16
1 02.227.07.414.00 2020,5903.0,Trabajos forestales,50000.0,50000.0,0.0,4818.0,45182.0,4818.0,4818.0,4818.0,4818.0
1 02.227.07.414.00 2019,6217.0,Trabajos forestales,0.0,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 02.227.07.920.00 2020,5822.0,Contrat.Proteccion datos,25000.0,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0
1 02.227.07.931.00 2020,4520.0,Auditoria,29000.0,29000.0,0.0,15100.8,13899.2,15100.8,15100.8,15100.8,15100.8
1 02.227.09.932.00 2020,4521.0,Servicio recaudacion,6000.0,6000.0,0.0,9600.32,-3600.32,9600.32,9600.32,9600.32,9600.32
1 02.227.11.241.00 2020,6340.0,Beterri-Plan Comunicación,0.0,15000.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0
1 02.227.95.162.20 2020,6125.0,Tratamiento residuos,555000.0,555000.0,0.0,542330.86,12669.14,542330.86,535885.79,535885.79,535885.79
1 02.227.95.162.20 2019,6218.0,Tratamiento residuos,0.0,6250.0,0.0,5062.2,1187.8,5062.2,5062.2,5062.2,5062.2
1 02.227.95.334.00 2020,6126.0,Web-Kultura,2000.0,2000.0,0.0,847.0,1153.0,847.0,847.0,847.0,847.0
1 02.227.96.162.10 2020,6127.0,Oficina atez-ate,60500.0,60500.0,0.0,36645.3,23854.7,36645.3,36645.3,36645.3,36645.3
1 02.227.96.162.20 2020,6128.0,OBRA HONDAKINAK,6000.0,6000.0,0.0,2899.88,3100.12,2899.88,2899.88,2899.88,2899.88
1 02.227.96.334.00 2020,6129.0,Local-Taller creativo,14000.0,14000.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0
1 02.227.97.162.10 2020,6130.0,Educadores.Fraccion rechazo,50500.0,50500.0,0.0,44078.56,6421.44,44078.56,44078.56,44078.56,44078.56
1 02.227.97.231.00 2020,6131.0,Dinamización.Plaza Feminista,35000.0,35000.0,0.0,0.0,35000.0,0.0,0.0,0.0,0.0
1 02.227.97.334.00 2020,6132.0,Gestión Taller creativo,14000.0,14000.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0
1 02.227.98.132.00 2020,4522.0,Perros abandonados,4000.0,4000.0,0.0,3138.42,861.58,3138.42,3138.42,3138.42,3138.42
1 02.227.98.162.10 2020,6133.0,Recogida residuos,1882600.0,1882600.0,0.0,1772208.19,110391.81,1772208.19,1772208.19,1772208.19,1772208.19
1 02.227.98.231.03 2020,6134.0,Progr.Haurren herria.,14000.0,14000.0,0.0,9000.0,5000.0,5000.0,5000.0,5000.0,5000.0
1 02.227.98.334.00 2020,4548.0,Contrato servicio Cine,36000.0,36000.0,0.0,40702.46,-4702.46,40702.46,20701.16,20701.16,20701.16
1 02.227.98.341.00 2020,6135.0,Progr. Eskola Kirola,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 02.227.98.342.00 2020,4524.0,Servicio socorrista,115000.0,115000.0,0.0,107505.6,7494.4,107505.6,107505.6,107505.6,107505.6
1 02.227.98.342.01 2020,4525.0,Mantenimiento,12000.0,12000.0,0.0,8984.25,3015.75,8984.25,8984.25,8984.25,8984.25
1 02.227.98.924.00 2020,6136.0,Web-Trabajos exteriores,20000.0,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 02.227.98.933.00 2020,5622.0,Banco Alimentos,13100.0,13100.0,0.0,13068.0,32.0,13068.0,13068.0,13068.0,13068.0
1 02.227.99.151.20 2020,6336.0,Galarreta-06-Actuaciones integradas,0.0,4235.0,0.0,3500.0,735.0,3500.0,3500.0,3500.0,3500.0
1 02.227.99.231.00 2020,5891.0,Genero,45000.0,45000.0,0.0,37630.96,7369.04,37630.96,37630.96,37630.96,37630.96
1 02.227.99.231.03 2020,6137.0,Gazteria.Cursos,10000.0,10000.0,0.0,9617.0,383.0,7171.1,7171.1,7171.1,7171.1
1 02.227.99.323.30 2020,4527.0,Servicio comedor,62740.0,62740.0,0.0,50449.78,12290.22,50449.78,50449.78,50449.78,50449.78
1 02.227.99.334.00 2020,5619.0,Apoyo produccion cultural,30700.0,30700.0,0.0,17725.25,12974.75,17725.25,17725.25,17725.25,17725.25
1 02.227.99.334.10 2020,4528.0,Servicio Talleres,39000.0,39000.0,0.0,26580.45,12419.55,26580.45,19844.2,19844.2,19844.2
1 02.227.99.337.00 2020,4529.0,Servicio Udalekuak,25000.0,25000.0,0.0,29931.94,-4931.94,29931.94,29931.94,29931.94,29931.94
1 02.227.99.341.00 2020,5892.0,Progr. Osasun Mapeoa,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0
1 02.227.99.341.00 2019,6220.0,Progr. Osasun Mapeoa,0.0,5000.0,0.0,5000.0,0.0,955.9,955.9,955.9,955.9
1 02.227.99.341.00 2017,6219.0,PAREKIDETASUNA KIROLEAN,0.0,2800.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
1 02.227.99.342.00 2020,4530.0,Otros contratos,16000.0,16000.0,0.0,11189.15,4810.85,11189.15,8089.83,8089.83,8089.83
1 02.227.99.342.01 2020,4531.0,Servicio socorrista,124000.0,124000.0,0.0,90946.87,33053.13,90946.87,90946.87,90946.87,90946.87
1 02.227.99.920.00 2020,4533.0,Otros contratos,45000.0,45000.0,0.0,19285.15,25714.85,19285.15,13235.15,13235.15,13235.15
1 02.227.99.920.00 2019,6221.0,Otros contratos,0.0,4235.0,0.0,4235.0,0.0,4235.0,4235.0,4235.0,4235.0
1 02.227.99.920.11 2020,4534.0,Servicio Seguridad-salud laboral,21000.0,21000.0,0.0,20334.46,665.54,20334.46,20334.46,20334.46,20334.46
1 02.227.99.920.20 2020,4880.0,Trabajos exteriores,25000.0,25000.0,0.0,29271.95,-4271.95,29271.95,23392.56,23392.56,23392.56
1 02.227.99.920.20 2019,6222.0,Trabajos exteriores,0.0,18932.45,0.0,5069.9,13862.55,5069.9,5069.9,5069.9,5069.9
1 02.227.99.920.30 2020,5186.0,Patrimonio,5000.0,5000.0,0.0,4000.01,999.99,4000.01,4000.01,4000.01,4000.01
1 02.230.01.920.10 2020,4536.0,Dietas personal,7000.0,7000.0,0.0,2919.44,4080.56,2919.44,2919.44,2919.44,2919.44
1 02.332.01.011.00 2020,4537.0,Intereses prestamo,4500.0,4500.0,0.0,1756.28,2743.72,1756.28,1756.28,1756.28,1756.28
1 02.369.01.011.00 2020,4539.0,Gastos financieros,2000.0,2000.0,0.0,4031.57,-2031.57,4031.57,4031.57,4031.57,4031.57
1 02.421.01.162.20 2020,6138.0,Aportacion SanMarcos,260000.0,260000.0,0.0,256024.46,3975.54,256024.46,256024.46,256024.46,256024.46
1 02.422.01.241.00 2020,4545.0,Convenio comarcal Beterri,139537.0,139537.0,0.0,139537.0,0.0,139537.0,139537.0,139537.0,139537.0
1 02.422.01.326.03 2020,4541.0,Subvenciones.EPA,3577.0,3577.0,0.0,3577.0,0.0,3577.0,3577.0,3577.0,3577.0
1 02.422.01.432.00 2020,4544.0,Convenio asociacion Behemendi,16300.0,16300.0,0.0,12786.03,3513.97,12786.03,12786.03,12786.03,12786.03
1 02.422.02.414.00 2020,6139.0,Aportacion. Asociacion Behemendi,27000.0,27000.0,0.0,29726.09,-2726.09,29726.09,29726.09,29726.09,29726.09
1 02.431.01.231.90 2020,5623.0,Aportacion ordinaria,2637092.0,2907092.0,0.0,2907092.0,0.0,2907092.0,2907092.0,2907092.0,2907092.0
1 02.431.01.943.20 2020,4547.0,Aportacion. Udala-Ereñotzu,392807.0,392807.0,0.0,373063.0,19744.0,373063.0,373063.0,373063.0,54132.66
1 02.471.01.241.02 2019,6223.0,Subv.Empresas.Lanbide,0.0,63000.0,0.0,19260.0,43740.0,19260.0,19260.0,19260.0,19260.0
1 02.480.01.151.10 2019,6328.0,SUBV.REHABILITACION VIVIENDAS,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0
1 02.480.01.151.10 2018,6224.0,SUBV.REHABILITACION VIVIENDAS,0.0,59139.78,0.0,663.55,58476.23,663.55,663.55,663.55,663.55
1 02.480.01.231.03 2020,6343.0,Subv.Alquiler vivienda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 02.480.01.231.03 2019,6225.0,Subv.Alquiler vivienda,0.0,146000.0,0.0,146000.0,0.0,139311.81,137061.81,137061.81,103331.81
1 02.480.01.231.04 2020,6344.0,Subv.Alguiler vivienda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 02.480.01.231.04 2019,6226.0,Subv.Alguiler vivienda,0.0,83000.0,0.0,83000.0,0.0,72123.0,66998.0,66998.0,55955.0
