#a,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.160.04.414.00 2018,4391.0,ELKARKIKETZA:INGURUNEAREN HOBEKUNTZA,956.0,956.0,0.0,763.29,192.71,763.29,763.29,763.29,763.29,2018,41400,,1,,01
1 01.160.04.432.00 2018,4392.0,ELKARKIDETZA:TURISMOA,1394.0,1394.0,0.0,1113.2,280.8,1113.2,1113.2,1113.2,1113.2,2018,43200,,1,,01
1 01.160.04.912.00 2018,5817.0,ELKARKIDETZA: GOBERNU ORGANOAK,0.0,0.0,0.0,101.2,-101.2,101.2,101.2,101.2,101.2,2018,91200,,1,,01
1 01.160.04.920.00 2018,4394.0,ELKARKIDETZA:ADMINISTRAZIO OROKORRA,7239.0,7239.0,0.0,6542.14,696.86,6542.14,6542.14,6542.14,6542.14,2018,92000,,1,,01
1 01.160.04.920.10 2018,4395.0,ELKARKIDETZA:PERTSONALA,2288.0,2288.0,0.0,1826.22,461.78,1826.22,1826.22,1826.22,1826.22,2018,92010,,1,,01
1 01.160.04.920.11 2018,4396.0,ELKARKIDETZA:SEGUR.ETA OSASUNA,1394.0,1394.0,0.0,1113.2,280.8,1113.2,1113.2,1113.2,1113.2,2018,92011,,1,,01
1 01.160.04.920.20 2018,4397.0,ELKARKIDETZA:INFORMATIKA,1394.0,1394.0,0.0,1113.2,280.8,1113.2,1113.2,1113.2,1113.2,2018,92020,,1,,01
1 01.160.04.920.30 2018,4398.0,ELKARKIDETZA:ARTXIBOA,1708.0,1708.0,0.0,1363.12,344.88,1363.12,1363.12,1363.12,1363.12,2018,92030,,1,,01
1 01.160.04.929.10 2018,4399.0,ELKARKIDETZA:BAKE EPAITEGIA,569.0,569.0,0.0,290.84,278.16,290.84,290.84,290.84,290.84,2018,92910,,1,,01
1 01.160.04.931.00 2018,4400.0,ELKARKIDETZA:ADMINISTRAZIO EKONOMIKOA,2852.0,2852.0,0.0,3189.34,-337.34,3189.34,3189.34,3189.34,3189.34,2018,93100,,1,,01
1 01.160.04.932.00 2018,4401.0,ELKARKIDETZA:BILKETA,4575.0,4575.0,0.0,3652.44,922.56,3652.44,3652.44,3652.44,3652.44,2018,93200,,1,,01
1 01.160.04.933.00 2018,4402.0,ELKARKIDETZA:ONDAREA ETA KONTRATAZIOA,1144.0,1144.0,0.0,913.11,230.89,913.11,913.11,913.11,913.11,2018,93300,,1,,01
1 02.160.06.920.10 2018,5160.0,ASISTENTZIA MEDIKU-FARMAZEUTIKOA,5500.0,5500.0,0.0,5610.0,-110.0,5610.0,5610.0,5610.0,5610.0,2018,92010,,1,,02
1 02.161.03.920.10 2018,5161.0,ERRETIRO AURRERATUEN KALTE-ORDAINAK,30000.0,30000.0,0.0,21105.75,8894.25,21105.75,21105.75,21105.75,21105.75,2018,92010,,1,,02
1 02.162.01.335.30 2018,4413.0,LANGILEAK EUSKALDUNTZEKO POLTSA,3000.0,3000.0,0.0,3000.0,0.0,3000.0,3000.0,3000.0,3000.0,2018,33530,,1,,02
1 02.162.01.920.10 2018,4414.0,LANGILEEN PRESTAKUNTZAKO GASTUAK,10000.0,10000.0,0.0,4304.0,5696.0,4304.0,3240.0,3240.0,3240.0,2018,92010,,1,,02
1 02.162.05.920.10 2018,4416.0,BIZITZA ETA ISTRIPU ASEGURUA.PERTSONALA,41800.0,41800.0,0.0,35058.28,6741.72,35058.28,35058.28,35058.28,35058.28,2018,92010,,1,,02
1 02.202.01.133.00 2018,5611.0,TRAFIKO KAMERAK-ZIRKULAZIOA,4000.0,4000.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,2018,13300,,2,,02
1 02.211.01.342.00 2018,4417.0,MANTENU OROKORRA.KIROLDEGIA,74000.0,74000.0,0.0,60864.05,13135.95,60864.05,51557.43,51557.43,51557.43,2018,34200,,2,,02
1 02.211.01.342.00 2017,5662.0,MANTENU OROKORRA.KIROLDEGIA,0.0,11180.26,0.0,11180.26,0.0,11180.26,5760.57,5760.57,5760.57,2017,34200,,2,,02
1 02.211.01.342.01 2018,4418.0,MANTENU OROKORRA.KANPO IGERILEKUAK,10000.0,10000.0,0.0,14509.46,-4509.46,14509.46,14509.46,14509.46,14509.46,2018,34201,,2,,02
1 02.211.01.342.01 2017,5663.0,MANTENU OROKORRA.KANPO IGERILEKUAK,0.0,4507.25,0.0,4507.25,0.0,4507.25,4507.25,4507.25,4507.25,2017,34201,,2,,02
1 02.211.01.342.02 2018,4419.0,MANTENU OROKORRA.ZUBIPE ZELAIA,6000.0,16579.0,0.0,5286.57,11292.43,5286.57,3471.57,3471.57,3471.57,2018,34202,,2,,02
1 02.211.01.342.03 2018,4420.0,MANTENU OROKORRA.LANDARE ZELAIA,6000.0,25720.0,0.0,23541.62,2178.38,23541.62,23541.62,23541.62,23541.62,2018,34203,,2,,02
1 02.211.01.342.09 2018,4421.0,MANTENU OROKORRA.BESTE.KIROL INSTALAKUNT,3000.0,3000.0,0.0,1709.06,1290.94,1709.06,1709.06,1709.06,1709.06,2018,34209,,2,,02
1 02.211.02.342.00 2018,5612.0,KIROLDEGIA-IGOGAILUEN MANTENUA,14000.0,14000.0,0.0,14520.0,-520.0,14520.0,14520.0,14520.0,14520.0,2018,34200,,2,,02
1 02.212.01.342.00 2018,4422.0,GIMNASIOKO MAKINA.KONPONKETA,14000.0,14000.0,0.0,13795.58,204.42,13795.58,13510.68,13510.68,13510.68,2018,34200,,2,,02
1 02.213.01.132.00 2018,4423.0,MANTENUA IBILGAILUA.UDALTZAINGOA,12300.0,12300.0,0.0,13032.25,-732.25,13032.25,13032.25,13032.25,13032.25,2018,13200,,2,,02
1 02.213.01.132.00 2017,5665.0,MANTENUA IBILGAILUA.UDALTZAINGOA,0.0,5635.95,0.0,0.0,5635.95,0.0,0.0,0.0,0.0,2017,13200,,2,,02
1 02.215.01.920.20 2018,4424.0,MANTENUA.EKIPO INFORMATIKOA,45000.0,45000.0,0.0,45425.06,-425.06,45425.06,45425.06,45425.06,45425.06,2018,92020,,2,,02
1 02.220.01.920.00 2018,5613.0,BULEGO-MATER.:ADMIN.OROKORRA,30000.0,30000.0,0.0,20871.82,9128.18,20871.82,20871.82,20871.82,20871.82,2018,92000,,2,,02
1 02.221.04.132.00 2018,4427.0,ERREGAIA: UDALTZAINGOA,9200.0,9200.0,0.0,7861.6,1338.4,7861.6,7861.6,7861.6,7861.6,2018,13200,,2,,02
1 02.221.05.132.00 2018,5614.0,JANTZIAK-UDALTZAINGOA,12000.0,12000.0,0.0,8933.36,3066.64,8933.36,4194.35,4194.35,4194.35,2018,13200,,2,,02
1 02.221.05.920.10 2018,4428.0,LANGILEENTZAKO ARROPAK,5000.0,5000.0,0.0,6748.93,-1748.93,6748.93,6748.93,6748.93,6748.93,2018,92010,,2,,02
1 02.221.06.323.30 2018,4429.0,ELIKAGAIAK:HAUR-ESKOLA,40000.0,40000.0,0.0,27593.39,12406.61,27593.39,27593.39,27593.39,27593.39,2018,32330,,2,,02
1 02.221.08.342.00 2018,4430.0,FARMAZI EKOIZKINAK: KIROLDEGIA,500.0,500.0,0.0,325.41,174.59,325.41,325.41,325.41,325.41,2018,34200,,2,,02
1 02.221.13.342.00 2018,4431.0,IGERILEKUA.PRODUKT.BEREZIAK,4000.0,4000.0,0.0,7757.53,-3757.53,7757.53,7757.53,7757.53,7757.53,2018,34200,,2,,02
1 02.221.13.342.01 2018,4432.0,PRODUKT.BEREZ:IGERILEKUAK,8000.0,8000.0,0.0,7845.12,154.88,7845.12,7845.12,7845.12,7845.12,2018,34201,,2,,02
1 02.221.14.342.00 2018,4433.0,KIROL MATERIALA,5000.0,5000.0,0.0,117.25,4882.75,117.25,117.25,117.25,117.25,2018,34200,,2,,02
1 02.221.14.342.00 2017,5667.0,KIROL MATERIALA,0.0,2468.01,0.0,2360.92,107.09,2360.92,2360.92,2360.92,2360.92,2017,34200,,2,,02
1 02.221.98.334.10 2018,4435.0,AUZO.HAUR TAIEL.MATERIALA,1500.0,1500.0,0.0,520.75,979.25,520.75,520.75,520.75,520.75,2018,33410,,2,,02
1 02.221.99.231.03 2018,4436.0,MATERIALA:GAZTERIA,6000.0,6000.0,0.0,5153.67,846.33,5153.67,5153.67,5153.67,5153.67,2018,23103,,2,,02
1 02.221.99.334.10 2018,4437.0,KULTURAKO TAILERRAKO MATERIALAK,1500.0,1500.0,0.0,1353.73,146.27,1353.73,1353.73,1353.73,1353.73,2018,33410,,2,,02
1 02.222.01.920.00 2018,4438.0,KOMUNIKAZIO TELEFONIKOAK,50000.0,50000.0,0.0,35507.81,14492.19,35507.81,33088.61,33088.61,33088.61,2018,92000,,2,,02
1 02.222.02.920.00 2018,4439.0,KOMUNIKAZIO POSTA BIDEZKOAK,40000.0,40000.0,0.0,49127.62,-9127.62,49127.62,49127.62,49127.62,49127.62,2018,92000,,2,,02
1 02.222.05.920.20 2018,4440.0,KOMUNIKAZIO INFORMATIKOAK,148000.0,148000.0,0.0,118277.77,29722.23,118277.77,118277.77,118277.77,118277.77,2018,92020,,2,,02
1 02.224.01.933.00 2018,4441.0,ERAIKINEN ASEGURUA,43000.0,43000.0,0.0,40335.18,2664.82,40335.18,40335.18,40335.18,40335.18,2018,93300,,2,,02
1 02.224.02.933.00 2018,4442.0,IBILGAILUEN ASEGURUA,8500.0,8500.0,0.0,7789.33,710.67,7789.33,7789.33,7789.33,7789.33,2018,93300,,2,,02
1 02.224.99.933.00 2018,4443.0,ERANTZUKIZUN ZIBILEKO ASEGURUA,30000.0,30000.0,0.0,26421.26,3578.74,26421.26,26421.26,26421.26,26421.26,2018,93300,,2,,02
1 02.226.02.912.00 2018,4444.0,PROTOK.ETA ORDEZK.ARRETAK,6000.0,6000.0,0.0,2680.32,3319.68,2680.32,2680.32,2680.32,2680.32,2018,91200,,2,,02
1 02.226.03.323.00 2018,4445.0,PUBLIZITATEA:IKASTETXEAK,2700.0,2700.0,0.0,1337.05,1362.95,1337.05,1337.05,1337.05,1337.05,2018,32300,,2,,02
1 02.226.03.326.01 2018,4446.0,PUBLIZITATEA:MUSIKA ESKOLA,800.0,800.0,0.0,175.35,624.65,175.35,175.35,175.35,175.35,2018,32601,,2,,02
1 02.226.03.334.00 2018,4447.0,PUBLIZITATEA: KULTURA ZERBITZUA,17000.0,17000.0,0.0,16520.29,479.71,16520.29,14560.09,14560.09,14560.09,2018,33400,,2,,02
1 02.226.03.335.10 2018,4448.0,PUBLIZITATEA:EUSKALTEGIA,4000.0,4000.0,0.0,3079.65,920.35,3079.65,3079.65,3079.65,3079.65,2018,33510,,2,,02
1 02.226.03.341.00 2017,5669.0,PUBLIZITATEA KIROL SAILA,0.0,622.29,0.0,622.29,0.0,0.0,0.0,0.0,0.0,2017,34100,,2,,02
1 02.226.03.912.00 2018,4449.0,PUBLIZIT:GOBERN.ORGANOAK,23000.0,23000.0,0.0,21063.28,1936.72,21063.28,12985.53,12985.53,12985.53,2018,91200,,2,,02
1 02.226.03.920.00 2018,5174.0,KOMUNIKAZIOA-UDALA,22000.0,22000.0,0.0,16257.04,5742.96,16257.04,11017.74,11017.74,11017.74,2018,92000,,2,,02
1 02.226.03.920.30 2018,4450.0,ARGITALPENAK:ARTXIBOA,8000.0,8000.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,2018,92030,,2,,02
1 02.226.03.932.00 2018,4451.0,ZERGA IRAGARKIAK.BILKETA,1500.0,1500.0,0.0,1433.85,66.15,1433.85,1433.85,1433.85,1433.85,2018,93200,,2,,02
1 02.226.04.920.00 2018,4452.0,GASTU JURIDIKOAK:ADMIN.OROKORRA,25000.0,25000.0,0.0,27275.28,-2275.28,27275.28,27275.28,27275.28,27275.28,2018,92000,,2,,02
1 02.226.04.920.00 2016,5672.0,GASTU JURIDIKOAK:ADMIN.OROKORRA,0.0,9075.0,0.0,9075.0,0.0,9075.0,0.0,0.0,0.0,2016,92000,,2,,02
1 02.226.06.231.03 2018,4453.0,GAZTERIA PROIEKTUAK,10000.0,10000.0,0.0,15634.03,-5634.03,15634.03,5759.03,5759.03,5759.03,2018,23103,,2,,02
1 02.226.06.323.00 2018,4454.0,KULTUR EKINTZAK:IKASTETXEAK,11000.0,11000.0,0.0,10719.0,281.0,10719.0,3626.29,3626.29,3626.29,2018,32300,,2,,02
1 02.226.06.323.00 2017,5673.0,KULTUR EKINTZAK:IKASTETXEAK,0.0,2466.88,0.0,2466.88,0.0,2466.88,2466.88,2466.88,2466.88,2017,32300,,2,,02
1 02.226.06.326.01 2018,4455.0,KONTZERTUAK:MUSIKA ESKOLA,20305.0,20305.0,0.0,17055.43,3249.57,17055.43,17055.43,17055.43,17055.43,2018,32601,,2,,02
1 02.226.06.334.00 2018,4456.0,KULTUR EKINTZAK,145400.0,145400.0,0.0,136941.08,8458.92,135891.08,99875.93,99875.93,99875.93,2018,33400,,2,,02
1 02.226.06.334.00 2017,5675.0,KULTUR EKINTZAK,0.0,23153.75,0.0,20308.75,2845.0,20308.75,20308.75,20308.75,20308.75,2017,33400,,2,,02
1 02.226.06.335.00 2018,4457.0,EKINTZA-KANPAINA:EUSKARA ZERBITZUA,25200.0,25200.0,0.0,15618.67,9581.33,15618.67,12896.4,12896.4,12896.4,2018,33500,,2,,02
1 02.226.06.335.00 2017,5676.0,EKINTZA-KANPAINA:EUSKARA ZERBITZUA,0.0,186.98,0.0,186.98,0.0,186.98,186.98,186.98,186.98,2017,33500,,2,,02
1 02.226.06.338.00 2018,4458.0,JAIAK ETA JAIALDIAK,195000.0,195000.0,0.0,188604.48,6395.52,188604.48,188604.48,188604.48,188604.48,2018,33800,,2,,02
1 02.226.06.342.00 2018,4459.0,EKINTZAK: KIROL JOLASGARRIAK,15500.0,15500.0,0.0,8222.95,7277.05,8222.95,8222.95,8222.95,8222.95,2018,34200,,2,,02
1 02.226.06.342.00 2017,5677.0,EKINTZAK: KIROL JOLASGARRIAK,0.0,2800.0,0.0,1098.06,1701.94,1098.06,1098.06,1098.06,1098.06,2017,34200,,2,,02
1 02.226.06.920.30 2018,5615.0,OROIMEN HISTORIKOA.,6000.0,6000.0,0.0,3818.0,2182.0,3818.0,968.0,968.0,968.0,2018,92030,,2,,02
1 02.226.95.231.00 2018,4462.0,HEZKIDETZA PROGR.BERDINTASUNA,60000.0,60000.0,0.0,60000.0,0.0,60000.0,30428.75,30428.75,30428.75,2018,23100,,2,,02
1 02.226.95.231.00 2017,5678.0,HEZKIDETZA PROGR.BERDINTASUNA,0.0,7750.0,0.0,7542.5,207.5,7542.5,7542.5,7542.5,7542.5,2017,23100,,2,,02
1 02.226.95.231.02 2018,4463.0,HARRERA PLANA.INMIGRAZIOA,5500.0,5500.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,2018,23102,,2,,02
1 02.226.96.172.30 2018,4464.0,ESKOLAKO AGENDA 21,19000.0,19000.0,0.0,12913.07,6086.93,12913.07,10413.07,10413.07,10413.07,2018,17230,,2,,02
1 02.226.96.231.00 2018,4465.0,TAILERRAK.BERDINTASUNA,35000.0,35000.0,0.0,32580.13,2419.87,32580.13,26308.57,26308.57,26308.57,2018,23100,,2,,02
1 02.226.96.231.02 2018,4466.0,BESTE PROGR.INMIGRAZIOA,10000.0,10000.0,0.0,393.61,9606.39,393.61,393.61,393.61,393.61,2018,23102,,2,,02
1 02.226.96.231.02 2017,5679.0,BESTE PROGR.INMIGRAZIOA,0.0,1800.0,0.0,1800.0,0.0,1800.0,1800.0,1800.0,1800.0,2017,23102,,2,,02
1 02.226.96.335.10 2018,5616.0,PUBLIZITATEA-KANPAINA BEREZIA,3500.0,3500.0,0.0,2117.5,1382.5,2117.5,2117.5,2117.5,2117.5,2018,33510,,2,,02
1 02.226.97.231.00 2018,4468.0,BESTE EKIMENAK.BERDINTASUNA,75000.0,75000.0,0.0,67494.31,7505.69,67494.31,42724.21,42724.21,42724.21,2018,23100,,2,,02
1 02.226.97.231.00 2017,5681.0,BESTE EKIMENAK.BERDINTASUNA,0.0,8984.47,0.0,8984.4,0.07,8984.4,6207.45,6207.45,6207.45,2017,23100,,2,,02
1 02.226.97.231.00 2016,5680.0,BESTE EKIMENAK.BERDINTASUNA,0.0,3600.0,0.0,3600.0,0.0,3600.0,3600.0,3600.0,3600.0,2016,23100,,2,,02
1 02.226.97.231.03 2018,4872.0,WUKRO-ELKARLANA,12000.0,12000.0,0.0,8363.85,3636.15,8363.85,8363.85,8363.85,8363.85,2018,23103,,2,,02
1 02.226.97.241.00 2018,5848.0,ITUROLA-COWORKING GUNEA,0.0,10000.0,0.0,4067.08,5932.92,4067.08,3026.48,3026.48,3026.48,2018,24100,,2,,02
1 02.226.97.241.01 2018,4469.0,FUNTZIONAMENDU GASTUAK.IKASTAROAK.,34620.0,34620.0,0.0,0.0,34620.0,0.0,0.0,0.0,0.0,2018,24101,,2,,02
1 02.226.97.241.02 2018,4873.0,FUNTZIONAMENDU GASTUAK.LANBIDE PROGRAMAK,7500.0,7500.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,2018,24102,,2,,02
1 02.226.97.326.01 2018,4874.0,ARGITALPENAK.MUSIKA ESKOLA,1000.0,1000.0,0.0,69.74,930.26,69.74,69.74,69.74,69.74,2018,32601,,2,,02
1 02.226.97.335.10 2018,4875.0,MATERIALA. EUSKALTEGIA,4000.0,4000.0,0.0,1108.11,2891.89,1108.11,1108.11,1108.11,1108.11,2018,33510,,2,,02
1 02.226.97.335.50 2018,4470.0,GAZTETXO ALDIZKARIA,5100.0,5100.0,0.0,5096.0,4.0,5096.0,2548.0,2548.0,2548.0,2018,33550,,2,,02
1 02.226.97.920.00 2018,4471.0,IRAGARKI OFIZIALAK,40000.0,40000.0,0.0,24904.11,15095.89,24904.11,24904.11,24168.68,24168.68,2018,92000,,2,,02
1 02.226.97.924.00 2018,4472.0,2.ESKUKO AZOKA,3700.0,3700.0,0.0,3557.4,142.6,3557.4,2371.56,2371.56,2371.56,2018,92400,,2,,02
1 02.226.97.933.00 2018,5825.0,ADMINISTRAZIOAREKIKO AUZIAK,0.0,0.0,0.0,10940.58,-10940.58,10940.58,10940.58,10940.58,10940.58,2018,93300,,2,,02
1 02.226.98.132.00 2018,4473.0,MATERIALA.BIDE HEZIKETA,6000.0,6000.0,0.0,5545.23,454.77,5545.23,5545.23,5545.23,5545.23,2018,13200,,2,,02
1 02.226.98.172.30 2018,4474.0,TOKIKO AGENDA 21,26500.0,26500.0,0.0,12803.12,13696.88,12803.12,10491.72,10491.72,10491.72,2018,17230,,2,,02
1 02.226.98.172.30 2017,5683.0,TOKIKO AGENDA 21,0.0,2904.0,0.0,2904.0,0.0,2904.0,2904.0,2904.0,2904.0,2017,17230,,2,,02
1 02.226.98.231.01 2018,4475.0,SENTIBERATZE KANPAINAK,2000.0,2000.0,0.0,1242.29,757.71,1242.29,1242.29,1242.29,1242.29,2018,23101,,2,,02
1 02.226.98.231.90 2018,5816.0,KAROBIETA 24-GASTUAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,23190,,2,,02
1 02.226.98.241.00 2018,4477.0,ORIENTAZIO ZERBITZUA,60000.0,60000.0,0.0,12069.75,47930.25,12069.75,12069.75,12069.75,12069.75,2018,24100,,2,,02
1 02.226.98.324.10 2018,4478.0,FUNTZ.GASTU:HLP programak,14000.0,14000.0,0.0,6010.3,7989.7,6010.3,6010.3,6010.3,6010.3,2018,32410,,2,,02
1 02.226.98.326.01 2018,4876.0,MUSIKA INSTRUMENTUAK,6800.0,6800.0,0.0,1263.79,5536.21,1263.79,1263.79,1263.79,1263.79,2018,32601,,2,,02
1 02.226.98.335.00 2018,4877.0,EKIMENAK.EUSKARAREN ALDE,5000.0,5000.0,0.0,4500.0,500.0,4500.0,4500.0,4500.0,4500.0,2018,33500,,2,,02
1 02.226.98.335.10 2018,4479.0,KANPOKO JARDUERAK.EUSKALTEGIA,1000.0,1000.0,0.0,980.0,20.0,980.0,980.0,980.0,980.0,2018,33510,,2,,02
1 02.226.98.335.50 2018,4480.0,IKASLEEN TXOKOA,5173.0,5173.0,0.0,5245.35,-72.35,5245.35,3147.21,3147.21,3147.21,2018,33550,,2,,02
1 02.226.98.432.00 2018,5176.0,TXOTX-AZTERKETA.ONDORIOAK,20000.0,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,2018,43200,,2,,02
1 02.226.98.920.00 2018,5617.0,BAXERA BERRERABILGARRIA,4000.0,4000.0,0.0,4145.94,-145.94,4145.94,4145.94,4145.94,4145.94,2018,92000,,2,,02
1 02.226.98.920.30 2018,5618.0,KUOTA-EUSKO IKASKUNTZA,300.0,300.0,0.0,300.0,0.0,300.0,300.0,300.0,300.0,2018,92030,,2,,02
1 02.226.98.933.00 2018,4482.0,ONDASUN PARTIK.KALTEETAR.KALTE-ORDAINAK,10000.0,10000.0,0.0,890.4,9109.6,890.4,890.4,890.4,890.4,2018,93300,,2,,02
1 02.226.99.132.00 2018,4483.0,HAINBAT GASTU.UDALTZAINGOA,7000.0,7000.0,0.0,10288.54,-3288.54,10288.54,8969.64,8969.64,8969.64,2018,13200,,2,,02
1 02.226.99.135.00 2018,4653.0,MATERIALA.BABES ZIBILA,4000.0,4000.0,0.0,2807.31,1192.69,2807.31,2807.31,2807.31,2807.31,2018,13500,,2,,02
1 02.226.99.151.10 2018,5177.0,KUDEAKETA GASTUAK HIRIGINTZA,33000.0,48000.0,0.0,610.72,47389.28,610.72,610.72,610.72,610.72,2018,15110,,2,,02
1 02.226.99.172.20 2018,4484.0,MATERIALA.BESTE.INGURUGIROA,25500.0,25500.0,0.0,16705.84,8794.16,16705.84,7368.94,7368.94,7368.94,2018,17220,,2,,02
1 02.226.99.172.20 2017,5684.0,MATERIALA.BESTE.INGURUGIROA,0.0,4138.2,0.0,4138.2,0.0,4138.2,2482.92,2482.92,2482.92,2017,17220,,2,,02
1 02.226.99.231.01 2018,4485.0,PROGRAMAK.LANKIDETZA,7257.0,7257.0,0.0,6147.11,1109.89,6147.11,6147.11,6147.11,6147.11,2018,23101,,2,,02
1 02.226.99.231.03 2018,4486.0,H.GASTU:GAZTERIA,1000.0,1000.0,0.0,601.96,398.04,601.96,601.96,601.96,601.96,2018,23103,,2,,02
1 02.226.99.241.00 2018,4878.0,EKIMENAK. TOKI GARAPENA,20000.0,20000.0,0.0,16564.84,3435.16,16564.84,16564.84,16564.84,16564.84,2018,24100,,2,,02
1 02.226.99.241.00 2017,5685.0,EKIMENAK. TOKI GARAPENA,0.0,5583.24,0.0,4712.04,871.2,4712.04,4712.04,4712.04,4712.04,2017,24100,,2,,02
1 02.226.99.241.03 2018,4487.0,FUNTZIONAMENDU GASTUAK.ALDUNDIA ENPLEGU,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2018,24103,,2,,02
1 02.226.99.323.20 2018,4488.0,H.GASTU:INGURUMEN-HEZKUNTZA,3500.0,3500.0,0.0,779.25,2720.75,779.25,779.25,779.25,779.25,2018,32320,,2,,02
1 02.226.99.323.30 2018,4489.0,H.GASTU:HAUR-ESKOLA,1500.0,1500.0,0.0,80.53,1419.47,80.53,80.53,80.53,80.53,2018,32330,,2,,02
1 02.226.99.326.01 2018,4490.0,H.GASTU:MUSIKA ESKOLA,3000.0,3000.0,0.0,1121.03,1878.97,1121.03,1121.03,1121.03,1121.03,2018,32601,,2,,02
1 02.226.99.332.10 2018,4491.0,EKIMENAK.BESTE.LIBURUTEGIA,38036.0,38036.0,0.0,32807.86,5228.14,32807.86,24806.06,24806.06,24806.06,2018,33210,,2,,02
1 02.226.99.332.10 2017,5686.0,EKIMENAK.BESTE.LIBURUTEGIA,0.0,5930.5,0.0,5930.5,0.0,5930.5,5930.5,5930.5,5930.5,2017,33210,,2,,02
1 02.226.99.334.00 2018,4492.0,H.GASTU:KULTURA ZERBITZUA,4000.0,4000.0,0.0,242.0,3758.0,242.0,242.0,242.0,242.0,2018,33400,,2,,02
1 02.226.99.335.00 2018,4493.0,H.GASTU:EUSKARA ZERBITZUA,600.0,600.0,0.0,88.29,511.71,88.29,88.29,88.29,88.29,2018,33500,,2,,02
1 02.226.99.335.10 2018,4494.0,EKINTZAK:EUSKALTEGIA,1500.0,1500.0,0.0,1184.91,315.09,1184.91,1184.91,1184.91,1184.91,2018,33510,,2,,02
1 02.226.99.335.20 2018,4495.0,BURUNTZALD.EUSKERA EGITASMOAK,30000.0,30000.0,0.0,26655.06,3344.94,26655.06,25268.88,25268.88,25268.88,2018,33520,,2,,02
1 02.226.99.335.20 2017,5687.0,BURUNTZALD.EUSKERA EGITASMOAK,0.0,3240.28,0.0,1436.66,1803.62,1436.66,1436.33,1436.33,1436.33,2017,33520,,2,,02
1 02.226.99.335.30 2018,4496.0,H.GASTU:EUSKARA PLANA,900.0,900.0,0.0,674.0,226.0,674.0,674.0,674.0,674.0,2018,33530,,2,,02
1 02.226.99.335.40 2018,4497.0,MATERIALA.UDALEKUAK,6000.0,6000.0,0.0,3994.11,2005.89,3994.11,3994.11,3994.11,3994.11,2018,33540,,2,,02
1 02.226.99.335.50 2018,4498.0,H.GASTU(ARGITALPEN...):EUSKARA-IRAKASKUN,12000.0,12000.0,0.0,2495.62,9504.38,2495.62,1446.55,1446.55,1446.55,2018,33550,,2,,02
1 02.226.99.338.00 2018,4499.0,MATERIALA.JAIAK,7000.0,7000.0,0.0,8780.65,-1780.65,8780.65,8586.15,8586.15,8586.15,2018,33800,,2,,02
1 02.226.99.342.00 2018,4500.0,MATERIALA.KIROLDEGIA,5000.0,5000.0,0.0,6467.94,-1467.94,6467.94,6467.94,6467.94,6467.94,2018,34200,,2,,02
1 02.226.99.342.01 2018,4501.0,MATERIALA.IGERILEKUAK,1000.0,1000.0,0.0,756.39,243.61,756.39,756.39,756.39,756.39,2018,34201,,2,,02
1 02.226.99.432.00 2018,4502.0,MATERIALA.BESTE. TURISMOA,36000.0,36000.0,0.0,22387.36,13612.64,22387.36,20532.75,20532.75,20532.75,2018,43200,,2,,02
1 02.226.99.432.00 2017,5690.0,MATERIALA.BESTE. TURISMOA,0.0,9246.58,0.0,9246.58,0.0,9246.58,0.0,0.0,0.0,2017,43200,,2,,02
1 02.226.99.912.00 2018,4503.0,H.GASTU:GOBERNU ORGANOAK,2000.0,2000.0,0.0,1178.94,821.06,1178.94,1178.94,1178.94,1178.94,2018,91200,,2,,02
1 02.226.99.912.00 2017,5691.0,H.GASTU:GOBERNU ORGANOAK,0.0,2766.06,0.0,2518.01,248.05,2518.01,2518.01,2518.01,2518.01,2017,91200,,2,,02
1 02.226.99.920.00 2018,4504.0,HARPIDETZAK.BESTE.ADMINIS.OROKORRA,25000.0,25000.0,0.0,22894.6,2105.4,22894.6,22894.6,22894.6,22894.6,2018,92000,,2,,02
1 02.226.99.920.11 2018,4505.0,MATERIALA.SEGURT.OSASUNA,10000.0,10000.0,0.0,9363.55,636.45,9363.55,7204.2,7204.2,7204.2,2018,92011,,2,,02
1 02.226.99.920.11 2017,5692.0,MATERIALA.SEGURT.OSASUNA,0.0,7334.05,0.0,6287.16,1046.89,6287.16,6287.16,6287.16,6287.16,2017,92011,,2,,02
1 02.226.99.920.30 2018,4506.0,HAIBAT(AGIRIEN ZAHARB...):ARTXIBOA,5000.0,5000.0,0.0,1978.35,3021.65,1978.35,1978.35,1978.35,1978.35,2018,92030,,2,,02
1 02.226.99.924.00 2018,4507.0,PARTEHARTZE EKIMENAK,77000.0,77000.0,0.0,34621.79,42378.21,34621.79,26526.43,26526.43,26526.43,2018,92400,,2,,02
